YearsExperience,Salary
9.8,118117.19
6.1,83116.24
6.5,131564.05
7.0,89957.85
4.3,64244.1
7.1,67121.43
5.3,54631.43
4.3,149268.82
9.0,105435.39
7.3,141318.86
7.6,109370.96
1.4,123743.35
7.9,93285.1
7.4,86853.37
9.7,65383.04
6.9,100370.57
9.5,88467.03
7.9,54961.28
9.4,49333.15
5.9,60776.39
7.1,83089.71
0.9,126848.18
8.3,97635.42
9.7,90073.95
8.3,143810.28
4.3,78995.91
5.9,85489.03
1.8,47445.94
6.8,148488.69
7.8,46852.02
9.0,55600.96
6.1,50858.8
7.1,109736.65
1.3,115268.24
6.5,80181.4
6.9,59948.32
7.7,75902.38
8.9,40274.83
1.4,79141.55
2.7,56385.73
1.5,107523.65
2.3,97212.61
6.4,107226.73
2.6,87471.17
3.4,98612.04
9.7,65009.97
6.7,90667.01
7.7,55168.92
0.0,59894.82
1.9,69068.16
9.8,139234.35
5.7,121550.52
0.9,99809.28
2.0,84523.79
9.7,92952.32
2.1,117458.62
7.3,44181.77
8.2,144998.68
4.3,112652.37
3.3,136164.99
6.3,77441.31
7.9,44681.89
5.3,51384.01
8.2,94477.98
8.5,137550.64
2.3,85177.6
6.3,41074.41
4.3,119955.34
1.7,103631.49
7.3,127063.98
5.2,107855.8
5.0,84541.37
6.2,82865.97
7.3,78566.73
7.3,138387.4
8.0,61802.62
8.3,58702.18
0.2,59444.12
6.6,94012.37
7.0,143770.31
7.8,118053.05
5.1,104347.71
7.5,48387.9
7.5,116294.75
3.0,120818.86
8.9,128254.92
3.7,90287.94
9.6,108737.18
4.3,144696.44
7.2,122800.9
9.6,139339.06
5.3,50518.47
1.5,68677.8
1.5,97992.36
2.7,116931.34
3.1,148963.78
6.8,66321.69
6.2,112676.69
3.7,67586.01
1.4,126293.58
