YearsExperience,Salary
3.5,78501.98
9.9,101164.77
0.2,92405.65
6.1,146423.96
3.7,48284.53
9.5,141677.92
8.0,128474.02
7.2,139979.96
3.9,82455.45
3.4,138911.15
1.1,144615.27
1.4,116672.14
1.3,65358.37
7.0,95453.27
9.5,49959.24
1.0,79671.8
2.2,130346.83
2.9,95331.39
8.6,120273.52
5.5,106677.88
9.8,135970.59
1.2,147561.45
5.5,71549.39
6.1,118026.58
0.8,122481.47
1.5,130725.99
5.8,119774.7
5.3,106817.43
3.2,77387.55
9.7,57063.8
5.8,66398.61
7.3,97176.35
0.9,136895.02
3.7,111018.3
2.2,101048.89
7.7,40373.45
5.9,111319.61
3.5,126234.64
2.7,136390.21
6.1,134405.05
3.5,46049.67
7.4,117595.71
2.5,77346.9
8.4,59700.72
0.3,127631.63
4.7,45813.65
1.6,55548.19
4.1,118198.35
9.6,56272.5
5.7,98442.37
8.6,56797.88
9.2,85281.17
1.5,142226.48
2.8,81215.24
2.1,124979.11
0.5,43897.25
6.0,40725.45
0.3,90494.09
4.2,64147.5
0.1,131220.87
1.8,147223.93
6.2,141637.85
7.5,68604.42
3.5,148726.32
8.3,127096.72
5.6,107330.62
3.1,148023.79
9.1,45433.81
2.0,134683.7
2.4,95261.26
7.4,49170.16
2.0,93638.48
3.5,63340.17
5.1,62527.3
7.9,51706.41
4.5,107799.12
5.4,49773.11
6.2,141058.83
3.6,73813.88
5.0,111841.01
1.0,40572.1
7.4,46589.55
9.2,76132.56
3.1,117852.51
4.8,109981.15
7.1,146999.0
0.9,74270.88
9.7,127974.59
8.7,126621.6
1.0,60683.66
6.8,47665.4
6.6,134801.38
1.6,76582.6
7.1,88701.16
9.3,59503.6
2.3,48495.23
2.7,59532.42
8.2,65122.36
0.3,90001.09
5.5,65699.08
2.8,84332.1
4.2,85896.71
6.7,105378.85
0.7,140298.74
6.6,73841.72
6.1,115927.1
8.1,85022.09
4.9,137257.66
1.1,128801.9
4.9,100905.98
0.2,136605.11
1.9,67247.98
5.4,44674.26
1.3,117407.79
9.8,100792.54
8.5,121587.41
6.9,138344.68
2.2,103210.63
7.7,51211.63
9.8,79683.19
9.6,52212.18
4.3,142584.79
0.1,126534.28
0.5,117763.6
4.4,137028.7
1.1,140033.49
0.6,113326.56
6.3,60284.08
5.7,55874.37
6.9,79340.19
4.4,59283.81
6.5,102255.2
5.1,121945.22
6.2,140022.58
4.7,45802.23
8.3,91137.83
1.9,114030.41
4.7,148182.57
6.4,76211.51
2.6,81525.62
3.6,44980.34
7.9,68749.24
4.0,78607.21
2.2,75451.21
2.6,73860.11
0.2,103264.1
0.1,59390.3
4.9,80034.86
0.2,108108.71
4.7,136737.97
1.2,89371.07
4.2,101749.01
1.9,52464.74
0.3,71023.73
5.9,104881.33
0.4,43842.87
8.1,58285.63
4.6,71665.71
9.9,76694.58
6.5,117022.35
6.9,68719.41
9.2,113421.7
5.7,130824.81
4.4,77832.09
8.8,70449.25
4.9,143549.6
5.8,72268.19
0.2,100080.36
5.0,61165.27
8.7,147901.69
3.2,129925.17
4.3,97993.6
1.3,45661.23
4.1,46639.92
3.5,42957.49
7.3,85817.18
5.1,125953.76
2.4,56617.98
9.1,87512.34
2.4,80787.21
5.4,58694.2
4.8,73374.35
9.4,52495.35
2.2,102357.44
8.5,136242.34
8.6,116946.41
7.8,60519.31
4.8,148417.14
6.7,132100.71
5.4,75035.08
7.0,107780.53
1.1,112477.77
5.7,103981.31
7.0,93946.56
2.1,92053.15
7.7,136999.82
6.4,98640.64
0.3,63248.21
5.2,48725.43
5.0,145146.68
2.4,50999.68
5.2,98122.17
5.1,127108.7
0.9,59351.75
8.8,139548.02
3.3,133203.67
0.6,130454.03
2.1,81808.62
9.2,121228.06
0.9,120802.66
7.2,90124.71
2.3,83839.36
6.2,100619.04
3.0,45863.06
3.2,101436.24
1.5,66771.86
4.4,98676.53
8.7,72770.62
1.4,93493.23
8.6,117432.14
9.3,75280.93
4.5,96843.48
6.6,42748.66
9.8,113255.69
9.9,76330.1
6.1,105811.03
9.7,74420.63
10.0,89381.66
1.9,88094.26
3.4,43115.83
8.9,80981.55
0.5,149083.12
7.6,109197.08
8.7,46204.0
4.4,117648.07
6.0,75520.81
8.1,81792.06
3.4,41824.14
1.1,92265.85
6.5,115636.56
9.8,124210.73
7.8,116613.87
8.6,113142.31
0.8,101235.8
1.5,42023.92
1.3,60973.55
1.8,93503.99
5.7,85048.79
8.9,138647.97
9.6,121757.31
4.8,73658.99
1.3,140560.87
3.4,71329.69
1.6,108814.15
3.5,91214.06
2.9,58918.58
4.9,139799.92
3.4,146680.02
7.6,77729.17
4.6,46592.09
3.8,145871.15
9.0,147278.36
4.6,103450.11
2.0,138593.42
6.6,118672.07
0.1,115074.75
6.9,43380.87
7.2,47060.93
1.0,52210.18
1.9,72377.19
1.4,142353.75
3.5,57168.1
8.3,66791.08
9.0,65240.12
2.6,108638.57
1.0,117046.24
9.1,87640.01
4.8,52206.77
1.5,120232.92
7.2,127339.02
6.8,138016.46
1.9,90266.68
8.3,127816.64
9.0,135866.5
6.4,119628.26
7.7,122096.56
9.1,135751.59
0.6,50448.0
2.5,115241.02
8.5,143329.98
8.0,137238.59
6.2,124465.44
4.2,57833.37
0.9,59631.77
1.0,68230.48
1.6,129198.42
3.5,66777.79
8.8,42105.04
4.1,81405.41
6.7,97999.1
6.9,96809.5
3.6,110763.67
7.4,76921.83
9.0,75083.21
6.9,81342.36
4.6,130307.31
0.3,42281.85
1.0,141121.2
2.5,112180.16
7.0,111749.77
1.4,105370.11
8.8,110887.7
4.7,120118.74
6.9,120016.9
1.5,132573.73
6.3,66167.86
5.2,55833.56
2.9,82662.04
3.9,69499.25
8.4,116822.23
7.6,47979.56
9.2,120165.06
0.9,59998.13
6.3,45185.7
7.2,42055.91
4.4,42506.12
8.6,101327.98
5.2,143133.97
2.0,85287.95
6.8,132989.07
1.2,57347.01
4.5,148243.76
5.7,138339.8
7.0,100779.18
1.3,130739.67
0.2,89370.87
2.1,83550.53
0.9,62991.69
9.1,142582.77
0.5,67825.11
6.9,89413.24
7.4,87891.55
0.1,128068.16
2.6,73349.79
9.7,92055.71
5.1,108713.33
6.7,106976.09
4.9,129468.69
4.6,63875.55
3.4,62136.29
5.7,98600.87
5.8,146856.56
3.8,65241.38
0.4,104014.81
5.3,138665.11
4.9,66290.6
3.5,94251.99
9.6,53819.38
5.0,50205.63
4.9,61889.24
1.3,106785.54
2.0,108063.19
3.0,116339.87
7.8,139527.53
3.5,144216.37
0.3,115295.74
6.9,48823.12
7.6,134915.98
9.6,54150.0
5.9,138519.97
6.4,128503.6
6.7,41141.35
0.7,55006.37
9.4,99687.68
8.9,106704.3
6.8,62278.13
6.6,126908.39
3.6,146076.52
2.6,62865.06
0.3,93942.87
9.3,80117.72
5.7,72622.69
4.8,56676.87
0.6,86977.3
7.3,92673.49
1.2,109717.53
1.3,66792.19
9.5,143741.43
2.6,143785.94
3.6,58954.76
2.5,49255.6
9.0,112888.65
5.0,102391.55
9.8,66173.77
0.3,147563.38
1.9,129982.2
2.8,92031.64
7.5,88828.97
5.2,50655.81
3.6,130051.95
4.1,52239.84
5.4,85063.56
6.4,62560.0
8.3,48710.02
4.7,60341.43
7.0,136248.84
6.3,124378.9
5.2,44891.91
4.3,43172.3
7.4,56686.66
9.2,75183.03
1.6,127021.03
6.1,57690.33
0.2,93139.23
8.1,121272.24
8.7,104466.97
9.0,119225.31
7.7,148203.18
0.5,108780.47
3.6,111278.73
6.2,118948.13
0.9,105729.72
0.1,107511.87
9.2,61364.41
9.8,106583.64
8.2,98313.52
6.5,95037.5
8.7,137872.99
8.2,81842.86
7.9,45837.02
9.4,53177.67
6.3,75341.32
7.5,90272.69
